id	milestone	repo	title	depends_on	effort	smoke	finding_ids	issue_refs
BL-18	M3	BankLedger	The brand name is spelled once: NS.BRAND_NAME in the launcher tooltip and the options parent title	RV-BL,BL-08	S	yes	BankLedger-R-10	
BL-19	M3	BankLedger	Spill ARCHITECTURE.md ## Settings Schema into schema.md and settings-panel.md (hub under ~400 lines)	RV-BL,BL-05,BL-06,BL-12	M		BankLedger-A-11	
BL-20	M3	BankLedger	Citation sweep: rotted file:line references cite symbols; 'four title bars' becomes three; .pkgmeta cites packaging bare; the register rows' Why/evidence are corrected	RV-BL,BL-19,BL-13	M	yes	BankLedger-R-06,BankLedger-A-09,BankLedger-A-15,BankLedger-A-18,BankLedger-A-20	
BL-21	M3	BankLedger	Write docs/debug.md for /bl debug scan and /bl debug panel; flip the Documentation map row to Present	RV-BL,BL-06,BL-19	S	yes	BankLedger-A-12	
BL-22	M3	BankLedger	README discloses the 30-day retention default	RV-BL	S		BankLedger-R-04	
BL-23	M3	BankLedger	Consolidated re-vendor span bundle docs/revendor/<date>-v1.18.0-v1.53.0/ for the unrecorded tags	RV-BL,WA-01	M		BankLedger-A-01	
BL-24	M3	BankLedger	Issue-store and register bookkeeping: close #3 (row landed), and record the 2026-09-23 re-check of the untriggered rows	RV-BL,BL-20	S		BankLedger-A-10,BankLedger-A-19,BankLedger-A-17,BankLedger-A-21	BankLedger#3
BL-DOCS	M3	BankLedger	Sync docs, regenerate docs/test-cases.md, and record a fresh automated-test bundle (perf skip reason 2; watch-list dispositions)	RV-BL,LK-12	M	yes	BankLedger-R-07,BankLedger-A-04,BankLedger-A-22	
PF-01	M3	PartyFrameEnhanced	Profile sub-verbs refuse bad names: `new` never wipes an existing profile, `use`/`copy`/`delete` refuse a missing one, `copy` refuses the current one	RV-PF,LK-03	S	yes	PartyFrameEnhanced-R-02,PartyFrameEnhanced-R-05	
PF-02	M3	PartyFrameEnhanced	Anchor reads the live profile section, so a profile switch, copy or reset places elements by the NEW profile whatever the bus dispatch order	RV-PF,PF-01	M	yes	PartyFrameEnhanced-R-01,PartyFrameEnhanced-R-08	
PF-03	M3	PartyFrameEnhanced	Secure-write memos compare against the REQUESTED value, so a setting toggled back in combat is not lost	RV-PF	S	yes	PartyFrameEnhanced-R-04	
PF-04	M3	PartyFrameEnhanced	The stand-down UNREGISTERS the ten target/pet state drivers instead of replacing them with 'hide'	RV-PF,PF-03	M	yes	PartyFrameEnhanced-R-06	
PF-05	M3	PartyFrameEnhanced	The stand-down unregisters the EditMode.Exit callback and burst() arms nothing while suspended; the stand-down suite reads callback registrations	RV-PF,LK-04	S	yes	PartyFrameEnhanced-R-03,PartyFrameEnhanced-R-10,PartyFrameEnhanced-A-11	
PF-06	M3	PartyFrameEnhanced	Stand-down hides the five fade frames and three free-placement holders; stand-up shows them before VISIBILITY	RV-PF,PF-04,LK-05	M	yes	PartyFrameEnhanced-A-01	
PF-07	M3	PartyFrameEnhanced	The Lock-frame row's disabled refusal prints the collection's one DisabledLine, not a second wording	RV-PF	S	yes	PartyFrameEnhanced-A-08	
PF-08	M3	PartyFrameEnhanced	Migration runner per WS-03: schemaVersion 0 in defaults, NS.SCHEMA_VERSION is the target, profile steps run over every stored profile, stamp only after success	RV-PF	M	yes	PartyFrameEnhanced-R-15	
PF-09	M3	PartyFrameEnhanced	Session-long registrations move into each owner's syncEvents/listen, and debug arguments are built only with debug on	RV-PF,PF-05	M	yes	PartyFrameEnhanced-R-17	
PF-10	M3	PartyFrameEnhanced	Every event registration goes through LibKa0s-Core's SafeRegisterEvent family with a host-owned rejected list reachable from /pfe status	RV-PF,PF-09	M		PartyFrameEnhanced-A-03	
PF-11	M3	PartyFrameEnhanced	Adopt LibKa0s-Schema-1.0 (minor 2) with writeThrough {'enabled','locked'}, so the library-less build still writes its composed rows	RV-PF,PF-07,PF-02,LK-23	L	yes		PartyFrameEnhanced#14
PF-12	M3	PartyFrameEnhanced	Library-absent Slash stub takes the LK-18 shape: no FormatRow copy, DisabledLine pinned to the library bytes, the WS-02 library-absent line	RV-PF,PF-11,PF-07	S		PartyFrameEnhanced-R-11	
PF-13	M3	PartyFrameEnhanced	Minimap row's CLI path reads in its own shown sense: global.minimap.shown, inverting onto the stored minimap.hide	RV-PF,PF-11,WS-06	S	yes		
PF-14	M3	PartyFrameEnhanced	.luacheckrc drops the eleven unused read_globals, including UnitExists	RV-PF,PF-04,PF-10	S		PartyFrameEnhanced-R-13	
PF-15	M3	PartyFrameEnhanced	Locale hygiene: dead keys out, near-duplicate pairs collapsed, provider labels and the DebugLog stub strings routed through NS.L	RV-PF,PF-07,PF-12	S		PartyFrameEnhanced-R-14,PartyFrameEnhanced-A-09	
PF-16	M3	PartyFrameEnhanced	Holders and the stand-in opt out of the client's layout cache	RV-PF,PF-06	S	yes	PartyFrameEnhanced-R-16	
PF-17	M3	PartyFrameEnhanced	.pkgmeta: ship no screenshots, drop the two phantom ignores; fix the screenshot filenames	RV-PF	S		PartyFrameEnhanced-R-18,PartyFrameEnhanced-A-15	
PF-18	M3	PartyFrameEnhanced	Zero-overhead perf scenario pins capture-off against instrumentation absent (call counters), not against capture-on	RV-PF,PF-10	S		PartyFrameEnhanced-R-07	
PF-19	M3	PartyFrameEnhanced	docs/performance.md and the perf.lua comments carry today's measured figures, with the settingsDrag growth attributed	RV-PF,PF-18,PF-11,PF-10,PF-09	S		PartyFrameEnhanced-R-12	
PF-20	M3	PartyFrameEnhanced	TOC annotates LifecycleSetup's load-bearing position and a load-order case pins it	RV-PF	S		PartyFrameEnhanced-A-07	
PF-21	M3	PartyFrameEnhanced	Bootstrap on line 1 and the self-naming header beneath it in every file; LOGO_PATH derived from addonName	RV-PF,PF-15	S		PartyFrameEnhanced-A-13,PartyFrameEnhanced-A-14,PartyFrameEnhanced-A-16	
PF-22	M3	PartyFrameEnhanced	Deviation register: retire the stale events-frames-taint-§1 row, record the EllesmereUIDB read as a library-stack-§6 deviation, and correct scope.md	RV-PF,PF-10	S		PartyFrameEnhanced-A-04,PartyFrameEnhanced-A-05,PartyFrameEnhanced-A-06	
PF-23	M3	PartyFrameEnhanced	Doc drift: Preview in the bus consumer cells, and the six sites the doc set lags the code	RV-PF,PF-09,PF-10,PF-22	S		PartyFrameEnhanced-A-10,PartyFrameEnhanced-A-12	
PF-24	M3	PartyFrameEnhanced	Consolidated span bundle for the re-vendors the amended AUDIT.md check reports unrecorded	RV-PF,WA-01	S			
PF-DOCS	M3	PartyFrameEnhanced	Sync docs, regenerate docs/test-cases.md, and record a fresh automated-test bundle (no version bump)	RV-PF,PF-01,PF-02,PF-03,PF-04,PF-05,PF-06,PF-07,PF-08,PF-09,PF-10,PF-11,PF-12,PF-13,PF-14,PF-15,PF-16,PF-17,PF-18,PF-19,PF-20,PF-21,PF-22,PF-23,PF-24	M	yes	PartyFrameEnhanced-A-17,PartyFrameEnhanced-A-18	
MM-01	M3	MultiMeters	The stand-down latch holds on every show path: WindowProto:Show, test-mode exit, /mm toggle and a window created while stood down	RV-MM	M	yes	MultiMeters-R-02,MultiMeters-R-04,MultiMeters-R-05	
MM-02	M3	MultiMeters	Launcher left-click gates through Launcher minor 2's isEnabled/disabledLine, and the Slash stub carries a pinned DisabledLine	RV-MM,MM-01,LK-16	M	yes	MultiMeters-R-04,MultiMeters-R-06	
MM-03	M3	MultiMeters	'Always show yourself' pins the player into the rows the window actually draws, scroll-aware	RV-MM	M	yes	MultiMeters-R-01	
MM-04	M3	MultiMeters	Chat export sends through Compat.ChatSender (C_ChatInfo first) and names a missing sender instead of silently self-printing	RV-MM	S	yes	MultiMeters-R-03	
MM-05	M3	MultiMeters	Renaming a window no longer closes its drill-down	RV-MM	S	yes	MultiMeters-R-16	
MM-06	M3	MultiMeters	Window commands answer with the right error: unknown name, empty rename	RV-MM,MM-01	S		MultiMeters-R-10	
MM-07	M3	MultiMeters	Every event registration goes through Core.SafeRegisterEvent with a rejected list reachable from /mm debug diag	RV-MM	M	yes	MultiMeters-A-20	
MM-08	M3	MultiMeters	Visibility:Evaluate runs only under debug and feeds /mm debug diag; LifecycleSetup's stand-down comment corrected	RV-MM	S		MultiMeters-R-09	
MM-09	M3	MultiMeters	Slash descriptor returns the write seam's refusal so CliSet/CliReset print it (Slash minor 15 contract)	RV-MM	S	yes		
MM-10	M3	MultiMeters	The test mock reads the addon version from MultiMeters.toc instead of hard-coding 0.1.0	RV-MM	S		MultiMeters-R-13	
MM-11	M3	MultiMeters	Drop the removed global GetSpellInfo from .luacheckrc read_globals	RV-MM	S		MultiMeters-R-14	
MM-12	M3	MultiMeters	Migration stamp per savedvariables-§1 v2.65.0: defaults declare schemaVersion 0, the runner owns the stamp	RV-MM,WS-03	M	yes		
MM-13	M3	MultiMeters	US spelling 'minimize' everywhere authored, with the v15->v16 migration of the two stored keys; waiver cut to the one library icon key	RV-MM,MM-12	L	yes	MultiMeters-A-18,MultiMeters-A-18a	
MM-14	M3	MultiMeters	Adopt LibKa0s-Schema-1.0 minor 2 for the settings runtime: Set with window instanceId, SetMany with one announce, the registry and the bracket; delete the host copies (MultiMeters#52)	RV-MM,MM-09,MM-13,LK-22	L	yes		MultiMeters#52
MM-15	M3	MultiMeters	Library-absent /mm enable and /mm disable write through the Schema seam's writeThrough list (options-ui-§1 v2.65.0 route (a))	RV-MM,MM-14	M			
MM-16	M3	MultiMeters	Minimap row's CLI path reads in its own shown sense: global.minimap.shown, storage unchanged at minimap.hide	RV-MM,MM-14,WS-06,MM-12	M	yes		
MM-17	M3	MultiMeters	scheduleTimer: document that Options ignores its return (OptionsWidgets minor 31) and pin the descriptor	RV-MM	S	yes		
MM-18	M3	MultiMeters	Columns page adopts RenderTabbedSchema opts.tabs for its bespoke block-editor tab (or files the decline); ReorderList drag smoke	RV-MM,LK-21	M	yes		
MM-19	M3	MultiMeters	Measure UNIT_SPELLCAST_SUCCEEDED and CHAT_MSG_SYSTEM: two perf buckets and their brackets	RV-MM	S	yes	MultiMeters-R-17	
MM-20	M3	MultiMeters	Render keeps rows bound across passes and Row:Update walks only live cells, gated on before/after in-client captures	RV-MM,MM-03	L	yes	MultiMeters-R-07	
MM-21	M3	MultiMeters	Bound the remembered roster (db.global.roster), with the branch chosen by the SM-06 login observation	RV-MM	M	yes	MultiMeters-R-08	
MM-22	M3	MultiMeters	Route every user-facing line in settings/Slash.lua through the locale, with whole-sentence keys and a real plural	RV-MM,MM-15,MM-09	M	yes	MultiMeters-R-11	
MM-23	M3	MultiMeters	Peel tests/test_provider.lua (1500, at the cap) by concern	RV-MM	S		MultiMeters-R-18	
MM-24	M3	MultiMeters	TOC: at-line LOAD-BEARING comments for CoreSetup, PerfSetup and OptionsSetup, and a 'conventional' note per group	RV-MM	S		MultiMeters-A-22	
MM-25	M3	MultiMeters	Correct the stale and misplaced comments: ShouldShow doc, spell/system handler docs, ladder step numbers, load order, launcher	RV-MM,MM-02	S		MultiMeters-R-12	
MM-26	M3	MultiMeters	Citation sweep to filename-§N: space forms, §-less forms, and literal \194\167 in comments	RV-MM,MM-25	M		MultiMeters-A-23	
MM-27	M3	MultiMeters	Ship the three owed Tier 2 docs: slash-dispatch.md, message-bus.md, profiles.md	RV-MM,MM-15,MM-12,MM-26	M		MultiMeters-A-03	
MM-28	M3	MultiMeters	Slim the hub under 560 lines: the texture census moves to docs/texture-paths.md, and the two catalog declines get register rows	RV-MM,MM-27	M		MultiMeters-A-06,MultiMeters-A-25	
MM-29	M3	MultiMeters	Doc figures: the hub's inventory line, and a dated statement beside the historical feign figure	RV-MM,MM-28,MM-19	S		MultiMeters-A-24,MultiMeters-R-15	
MM-30	M3	MultiMeters	Consolidated re-vendor span bundle for the unrecorded LibKa0s tags (v1.18.0 ... v1.54.2)	RV-MM,WA-01	M		MultiMeters-A-19	
MM-31	M3	MultiMeters	Release-record hygiene: README records the 1.0.1 re-publish; closed issues #4/#21/#24 get terminal labels	RV-MM,MM-13	S		MultiMeters-A-21,MultiMeters-A-16	MultiMeters#4,MultiMeters#21,MultiMeters#24
MM-DOCS	M3	MultiMeters	Sync docs, regenerate docs/test-cases.md and the badge, and record a fresh automated-test bundle	RV-MM	M		MultiMeters-A-26	
LH-01	M3	LootHistory	Clear the Mythic+ keystone context when the player leaves the party instance or the key resets	RV-LH	M	yes	LootHistory-R-01	
LH-02	M3	LootHistory	Keep the encounter context for a grace window after a successful ENCOUNTER_END, so boss-corpse loot carries encounterID	RV-LH,LH-01	S	yes	LootHistory-R-02	
LH-03	M3	LootHistory	Rebuild the currency-category cache once per missed id instead of freezing the first session snapshot	RV-LH	S	yes	LootHistory-R-03	
LH-04	M3	LootHistory	Confirm before a shorter 'Keep history for' deletes records; declining restores the previous retention	RV-LH	M	yes	LootHistory-R-04	
LH-05	M3	LootHistory	General visibility and the test-mode refusal decide from the combat edge, not InCombatLockdown()	RV-LH	S	yes	LootHistory-A-02	
LH-06	M3	LootHistory	The warbound repair warms the item cache from the link when a row has no itemID	RV-LH	S		LootHistory-R-15	
LH-07	M3	LootHistory	Database:Export deep-copies auctionPrice and sourceDetail, as its contract says	RV-LH	S		LootHistory-R-17	
LH-08	M3	LootHistory	PruneOld fires HistoryChanged only when it removed rows	RV-LH,LH-04	S		LootHistory-R-18	
LH-09	M3	LootHistory	One bind-state vocabulary across both CSV exports; comment the two sentinels	RV-LH	S	yes	LootHistory-R-12	
LH-10	M3	LootHistory	The resize grip honors Lock frame; keep the collection's Blizzard grabber under a library-stack-§8 register row	RV-LH	S	yes	LootHistory-R-09,LootHistory-A-19	
