id	milestone	repo	title	depends_on	effort	smoke
DR-AT-07	M4	AbsorbTracker	revendor-standards to v2.68.0, sync-docs, AUD-01 self-check	DR-AT-04,DR-AT-05,DR-AT-06,DR-WS-05,DR-OW-07	S	
DR-BL-01	M3	BankLedger	Re-vendor LibKa0s v1.60.0 with the provenance line; stub RunDiagnostics; add diagnostics to the degraded live list (Slash.lua:404); suite green	DR-LK-06	S	
DR-BL-03	M3	BankLedger	modules/Diagnostics.lua on the helper (DX-BL), Ledger:Diagnose folded as a section; COMMANDS row and debug word; tests per STD-19; verb counts 17 -> 18	DR-BL-01	M	S1,S2,S5,S11,S3,S4,S8
DR-BL-04	M3	BankLedger	README ## Reporting a bug, Troubleshooting row :163 points at it (STD-17, STD-18)	DR-BL-03	S	S9
DR-BL-05	M3	BankLedger	Docs: debug.md diagnostics section and "which to paste", slash-dispatch, ARCHITECTURE counts, smoke-tests step and :391/:393 buffer lines, common-tasks, module-map	DR-BL-03	S	S7
DR-BL-07	M4	BankLedger	revendor-standards to v2.68.0, sync-docs, AUD-01 self-check	DR-BL-04,DR-BL-05,DR-WS-05,DR-OW-07	S	
DR-CM-01	M3	ConsumableMaster	Re-vendor LibKa0s v1.60.0 with the provenance line; stub RunDiagnostics (library-absent line, no chat flood); tests/test_debuglog.lua:281 on the new value; suite green	DR-LK-06	S	
DR-CM-02	M3	ConsumableMaster	Read-only accessors: MacroManager pendingUpdates snapshot, TooltipCache pending set, oversized/give-up tracking; tests	DR-CM-01	S	
DR-CM-03	M3	ConsumableMaster	core/Diagnostics.lua on the helper (DX-CM); COMMANDS row and a debug diagnostics branch before the toggle; help string; test_slashsetup.lua:244 order pin, test_disabled; tests per STD-19	DR-CM-02	M	S1,S2,S5,S11,S3,S4,S8
DR-CM-04	M3	ConsumableMaster	README ## Reporting a bug; fix Troubleshooting :117 (bare /cm debug does not enable logging) and :120 (STD-17, STD-18)	DR-CM-03	S	S9
DR-CM-05	M3	ConsumableMaster	Docs: debug.md, slash-dispatch (live set), smoke-tests step and :289/:651 buffer lines	DR-CM-03	S	S7
DR-CM-06	M3	ConsumableMaster	DragHandle X on the macro bar per DR-OW-03 (X-01, X-02, X-05): SetEnabled(false), locale keys, combat-deferred hide test, smoke step	DR-CM-01,DR-OW-03	S	S6
DR-CM-07	M4	ConsumableMaster	revendor-standards to v2.68.0, sync-docs, AUD-01 self-check	DR-CM-04,DR-CM-05,DR-CM-06,DR-WS-05,DR-OW-07	S	
DR-KC-01	M3	KickCD	Re-vendor LibKa0s v1.60.0 with the provenance line; stub RunDiagnostics; test_slash.lua:940-955 live union still equals FEATURE_VERBS; suite green	DR-LK-06	S	
DR-KC-02	M3	KickCD	Refactor Cooldowns:DebugDump, Castbar:DebugDump and Compat.DebugInterrupt to take an emit sink; keep chat output identical under their pinned tests	DR-KC-01	S	
DR-KC-03	M3	KickCD	modules/Diagnostics.lua on the helper (DX-KC), lifecycle first; COMMANDS row and DEBUG_COMMANDS entry; TOC; tests per STD-19	DR-KC-02	M	S1,S2,S5,S11,S3,S4,S8
DR-KC-04	M3	KickCD	README ## Reporting a bug; rewrite FAQ :100, prefer diagnostics in Troubleshooting :106/:110/:111 (STD-17, STD-18)	DR-KC-03	S	S9
DR-KC-05	M3	KickCD	Docs: debug.md (the four chat dumps section becomes diagnostics + topics), slash-dispatch, testing matrices, test-cases, smoke-tests step, buffer sites (DebugLogSetup.lua:5, debug.md:28-29, smoke :659/:667)	DR-KC-03	S	S7
DR-KC-07	M4	KickCD	revendor-standards to v2.68.0, sync-docs, AUD-01 self-check	DR-KC-04,DR-KC-05,DR-WS-05,DR-OW-07	S	
DR-LH-01	M3	LootHistory	Re-vendor LibKa0s v1.60.0 with the provenance line in one commit; stub RunDiagnostics; LIVE_WHILE_DISABLED (Schema.lua:858) + test_disabled.lua:310-313 + test_slash.lua:908 gain diagnostics; suite green	DR-LK-06	S	
DR-LH-03	M3	LootHistory	modules/Diagnostics.lua on the helper (DX-LH); COMMANDS row and debug word before the toggle; fold debug events; degraded dispatcher and UNAVAILABLE_WITHOUT_LIB; TOC and loader; tests per STD-19; counts 16 -> 17	DR-LH-01	M	S1,S2,S5,S11,S3,S4,S8
DR-LH-04	M3	LootHistory	README ## Reporting a bug; Troubleshooting pointer; Usage :58 live-verb list (STD-17, STD-18)	DR-LH-03	S	S9
DR-LH-05	M3	LootHistory	Docs: debug.md, ARCHITECTURE slash table and :282, slash-dispatch, disabled-state, test-cases, smoke-tests :83 and buffer lines :706/:715/:716/:963	DR-LH-03	S	S7
DR-LH-07	M4	LootHistory	revendor-standards to v2.68.0, sync-docs, AUD-01 self-check	DR-LH-04,DR-LH-05,DR-WS-05,DR-OW-07	S	
DR-MM-01	M3	MultiMeters	Re-vendor LibKa0s v1.60.0 with the provenance line; stub RunDiagnostics; suite green	DR-LK-06	S	
DR-MM-02	M3	MultiMeters	Re-host D.Report on the helper under both forms; retire /mm debug diag as an unknown word (Q7, recommended (a): no hint); rename ~30 non-frozen references; markers, cap and plain text	DR-MM-01	M	S1,S2,S5,S11,S8
DR-MM-03	M3	MultiMeters	Add the missing DX-MM sections: lifecycle, restriction and session flags, settings diff per profile and window, window inventory, sessions, aggregator, roster and cache counts; tests per STD-19	DR-MM-02	M	S3,S4
DR-MM-04	M3	MultiMeters	README ## Reporting a bug; replace Troubleshooting :99 with a pointer, keep the debug tooltip advice (STD-17, STD-18)	DR-MM-03	S	S9
DR-MM-05	M3	MultiMeters	Docs: debug.md, ARCHITECTURE :357 counts, slash-dispatch, smoke-tests; buffer prose (DebugLogSetup.lua:5/:59/:87, debug.md:47, common-tasks:66, scope:406, test_debuglogsetup.lua:299 comment; append to ARCHITECTURE:399)	DR-MM-03	S	S7
DR-MM-07	M4	MultiMeters	revendor-standards to v2.68.0, sync-docs, AUD-01 self-check	DR-MM-04,DR-MM-05,DR-WS-05,DR-OW-07	S	
DR-PM-01	M3	PanelMaster	Re-vendor LibKa0s v1.60.0 with the provenance line; stub RunDiagnostics; degraded live list (Slash.lua:447-455) gains diagnostics; suite green	DR-LK-06	S	
DR-PM-02	M3	PanelMaster	Read-only accessor for the Unlock.lua pendingUnlock/pendingPanels queue; test	DR-PM-01	S	
DR-PM-03	M3	PanelMaster	modules/Diagnostics.lua on the helper (DX-PM); both forms; retire /pm debug dump with its tests (test_slash :646-664, test_libka0s :773, test_disabled :671-704, test_debuglog :163-213); tests per STD-19	DR-PM-02	M	S1,S2,S5,S11,S3,S4,S8
DR-PM-04	M3	PanelMaster	README ## Reporting a bug; Troubleshooting :273 and Issues :280 point at it (STD-17, STD-18)	DR-PM-03	S	S9
DR-PM-05	M3	PanelMaster	Docs: debug.md, common-tasks, ARCHITECTURE :189, module-map, test-cases, smoke-tests (dump steps and :685/:718/:881 buffer lines), DebugLogSetup.lua:9 comment	DR-PM-03	S	S7
DR-PM-07	M4	PanelMaster	revendor-standards to v2.68.0, sync-docs, AUD-01 self-check	DR-PM-04,DR-PM-05,DR-WS-05,DR-OW-07	S	
DR-PF-01	M3	PartyFrameEnhanced	Re-vendor LibKa0s v1.60.0 with the provenance line; stub RunDiagnostics; LIVE_WHILE_DISABLED gains diagnostics; suite green	DR-LK-06	S	
DR-PF-02	M3	PartyFrameEnhanced	Read-only accessors: RangeFade mode/unitOf/hooked, PendingSecureKeys, a session blocked-action counter; tests and surface parity	DR-PF-01	S	
DR-PF-03	M3	PartyFrameEnhanced	modules/Diagnostics.lua on the helper (DX-PF); COMMANDS row and runDebug branch; TOC, loadorder test, file counts, locale keys; tests per STD-19	DR-PF-02	M	S1,S2,S5,S11,S3,S4,S8
DR-PF-04	M3	PartyFrameEnhanced	README ## Reporting a bug; Troubleshooting :108 pointer (STD-17, STD-18)	DR-PF-03	S	S9
DR-PF-05	M3	PartyFrameEnhanced	Docs: debug.md, slash-dispatch, ARCHITECTURE seventeen -> eighteen, module-map; DebugLogSetup.lua:4 comment made value-free	DR-PF-03	S	S7
DR-PF-07	M4	PartyFrameEnhanced	revendor-standards to v2.68.0, sync-docs, AUD-01 self-check	DR-PF-04,DR-PF-05,DR-WS-05,DR-OW-07	S	
DR-PC-01	M3	PrettyChat	Re-vendor LibKa0s v1.60.0 with the provenance line; stub RunDiagnostics; rewrite test_debuglog.lua:184-212 on lib.MAX_BUFFER and test_libka0s.lua:204; test_disabled.lua:272-276 gains diagnostics; correct the liveVerbs comment (Slash.lua:127-131); suite green	DR-LK-06	S	
DR-PC-03	M3	PrettyChat	modules/Diagnostics.lua on the helper (DX-PC) with out:escape for format values; live-global audit, snapshot health, patch drift, render check; COMMANDS row, debug word, usage line; tests per STD-19	DR-PC-01	M	S1,S2,S5,S11,S3,S4,S8
DR-PC-04	M3	PrettyChat	README ## Reporting a bug; Usage :31, FAQ :53, Troubleshooting :63 pointers (STD-17, STD-18)	DR-PC-03	S	S9
DR-PC-05	M3	PrettyChat	Docs: new docs/debug.md and its ARCHITECTURE map row, slash-dispatch (twelve -> thirteen), smoke-tests steps and buffer lines :217/:222/:223/:226/:727, Schema.lua:955 comment	DR-PC-03	S	S7
DR-PC-07	M4	PrettyChat	revendor-standards to v2.68.0, sync-docs, AUD-01 self-check	DR-PC-04,DR-PC-05,DR-WS-05,DR-OW-07	S	
DR-WG-01	M3	WhatGroup	Re-vendor LibKa0s v1.60.0 with the provenance line; stub RunDiagnostics; test_slash.lua:473-475 live copy gains diagnostics; suite green	DR-LK-06	S	
DR-WG-02	M3	WhatGroup	Read-only snapshot accessors for the capture tables (core/WhatGroup.lua) and popup file-locals (modules/Frame.lua), kept small in the near-cap files; tests	DR-WG-01	S	
DR-WG-03	M3	WhatGroup	modules/Diagnostics.lua on the helper (DX-WG); COMMANDS row, runDebug branch, third usage line (test_slash.lua:304-308); :561 count; tests per STD-19	DR-WG-02	M	S1,S2,S5,S11,S3,S4,S8
DR-WG-04	M3	WhatGroup	README ## Reporting a bug; Usage :33 pointer (STD-17, STD-18)	DR-WG-03	S	S9
DR-WG-05	M3	WhatGroup	Docs: new docs/debug.md and ARCHITECTURE map row, debug-content.md :5-6/:11-13, slash-dispatch, Slash.lua:77 comment, smoke-tests step and buffer lines, ARCHITECTURE:262	DR-WG-03	S	S7
DR-WG-07	M4	WhatGroup	revendor-standards to v2.68.0, sync-docs, AUD-01 self-check	DR-WG-04,DR-WG-05,DR-WS-05,DR-OW-07	S	
DR-AM-01	M3	AuraMaster	Re-vendor LibKa0s v1.60.0 with the provenance line (from v1.59.0) on a branch cut per DR-OW-05; stub RunDiagnostics; suite green; AuraMaster's X (container enabled=false) still green under WidgetsDragHandle 3	DR-LK-06,DR-OW-05	S	S6
DR-AM-02	M3	AuraMaster	Migrate modules/Diagnostics.lua plumbing onto the helper (Q3): drop Out/section/Run, markers per STD-08, cap from lib.DIAG_MAX_LINES; adjust test_diagnostics.lua	DR-AM-01	M	S1,S2,S5,S11,S3,S4,S8
DR-AM-04	M3	AuraMaster	README ## Reporting a bug: correct step 3, which today says "paste it into a GitHub issue" with a link, to "include it with your bug report" with no link; the closing note stays (STD-17)	DR-AM-02	S	S9
DR-AM-05	M3	AuraMaster	Docs and comments: DebugLogSetup.lua:5, debug.md:19/:126/:129, known-limitations.md:234, smoke-tests.md:1328	DR-AM-02	S	S7
DR-AM-07	M4	AuraMaster	revendor-standards to v2.68.0, sync-docs, AUD-01 self-check	DR-AM-04,DR-AM-05,DR-WS-05,DR-OW-07	S	
DR-REC-01	M4	Ka0sAddonsCommonTasks	Execution record 99_REPORT.md: per-repo heads, battery totals, open smoke results, deviations	DR-AT-07,DR-BL-07,DR-CM-07,DR-KC-07,DR-LH-07,DR-MM-07,DR-PM-07,DR-PF-07,DR-PC-07,DR-WG-07,DR-AM-07	S	
